choice,n,step,time,status,modal_gain,divergence_l2,density_fluctuation,lattice_speed,max_mass_drift,rate_fit
otrt,12,800,2.7777777777777777,completed,0.002147668853820806,1.1608665547195622e-07,3.835671780194616e-10,8.061575107316346e-10,4.440892098500626e-16,0.9923501947229003
otrt,16,800,1.5625,completed,0.002147668350361201,1.1608652579415133e-07,2.1575718989197412e-10,4.5346319133984616e-10,6.661338147750939e-16,0.9923501947881984
otrt,24,800,0.6944444444444444,completed,0.002147671931806868,1.1608689728537872e-07,9.58919610383191e-11,2.0153992024035389e-10,4.440892098500626e-16,0.9923501947338027
otrt,32,800,0.390625,completed,0.0021476717805901106,1.1608673300125612e-07,5.393929747299353e-11,1.1336602466035202e-10,7.771561172376096e-16,0.9923501949094323
otrt,48,800,0.1736111111111111,completed,0.0021476537616817717,1.1608609065902272e-07,2.3973378837638393e-11,5.0384680629304255e-11,8.881784197001252e-16,0.9923501944977737
otrt,64,800,0.09765625,completed,0.0021476956987466424,1.1608736638145363e-07,1.3485323968609464e-11,2.8342074669720328e-11,5.551115123125783e-16,0.9923501944399479
otrt,96,800,0.043402777777777776,completed,0.0021476714071452085,1.160893731919993e-07,5.99365002074137e-12,1.2596542389742298e-11,8.881784197001252e-16,0.992350194122562
otrt,128,800,0.0244140625,completed,0.002147716151889368,1.1608402399036447e-07,3.3715252811816754e-12,7.085347984220989e-12,6.661338147750939e-16,0.9923501953973279
srt,12,435,1.5104166666666665,amplified,1000.3517441337482,0.03838076726956419,0.0005778447182197555,0.00026668712107764155,8.659739592076221e-15,1.0160074756686117
srt,16,435,0.849609375,amplified,1000.3521641798492,0.0383805982117673,0.0003250381674378966,0.00014997294293833427,5.773159728050814e-15,1.016007475668412
srt,24,435,0.37760416666666663,amplified,1000.3523210340951,0.03838053563971307,0.00014446149327806967,6.664250066915891e-05,6.661338147750939e-15,1.0160074756774644
srt,32,435,0.21240234375,amplified,1000.3523494344116,0.03838052551421438,8.125959828753082e-05,3.748402794640534e-05,3.219646771412954e-15,1.0160074756687336
srt,48,435,0.09440104166666666,amplified,1000.3523661870256,0.038380522999131125,3.611537846959223e-05,1.6658815043490203e-05,6.661338147750939e-15,1.0160074756992485
srt,64,435,0.0531005859375,amplified,1000.3524035561612,0.03838052348501179,2.0314901867157786e-05,9.370435933643076e-06,8.43769498715119e-15,1.016007475728958
srt,96,435,0.023600260416666664,amplified,1000.352392150346,0.03838052655470607,9.028845060932156e-06,4.164591859597029e-06,6.217248937900877e-15,1.0160074757944213
srt,128,435,0.013275146484375,amplified,1000.3525135509163,0.03838052633398781,5.0787252185990894e-06,2.3425733632837233e-06,5.329070518200751e-15,1.0160074758109432
