method,alpha,n,h,target_time,status,stop_reason,steps,actual_time,e_u1,e_u2,e_uinf,d2,density_fluctuation,m_h
OTRT,0.2,16,0.0625,0.25,completed,,320,0.25,0.0036884970532471296,0.004045287183499901,0.007713525830719297,0.000379173190915847,4.906330942267001e-05,0.02196503371225688
SRT,0.5,16,0.0625,0.25,threshold,d2,105,0.205078125,,,,0.550445883020344,0.001862727789692542,0.02163364628201371
SRT,0.2,16,0.0625,0.25,completed,,320,0.25,0.006465976424131959,0.007387404427648772,0.01483653087994698,0.038464747436628886,1.0973572548755861e-05,0.02074567560159958
OTRT,0.5,16,0.0625,0.25,completed,,128,0.25,0.003843182500656059,0.0042591749761051395,0.008388421050285859,0.003546193778489966,5.937144628354041e-05,0.021957552328377622
OTRT,0.2,24,0.041666666666666664,0.25,completed,,720,0.25,0.0016129054331191163,0.0017671754798743939,0.0035007689050979163,0.00021527560481647795,8.94810787221978e-06,0.01500161692749727
SRT,0.5,24,0.041666666666666664,0.25,threshold,d2,169,0.14670138888888887,,,,0.5196932128514791,0.0015431603892699375,0.01631790246426841
SRT,0.2,24,0.041666666666666664,0.25,completed,,720,0.25,0.0028822371940114863,0.003289766369704866,0.006851200797923025,0.018415159105552182,3.359408149772314e-06,0.014623242380192154
OTRT,0.5,24,0.041666666666666664,0.25,completed,,288,0.25,0.001588397404297791,0.0017317195584032623,0.0033287632932186887,0.0018795806994779398,1.563088851508354e-05,0.01501024231474927
OTRT,0.2,32,0.03125,0.25,completed,,1280,0.25,0.0009094380159850458,0.000996912570742408,0.0020133744551681728,9.847184009959185e-05,2.887865478085061e-06,0.01134548975693285
SRT,0.5,32,0.03125,0.25,threshold,d2,243,0.11865234375,,,,0.5265193843452068,0.001109292581090715,0.012805901685699663
SRT,0.2,32,0.03125,0.25,completed,,1280,0.25,0.0016214591440877348,0.0018518303322272369,0.0039014288829548518,0.01063897169604543,6.121384307222755e-07,0.011183844966890774
OTRT,0.5,32,0.03125,0.25,completed,,512,0.25,0.0009388962361361812,0.0010375342212015476,0.002136145603758851,0.0008008154656745131,6.110888128185721e-06,0.011345520250826545
OTRT,0.2,48,0.020833333333333332,0.25,completed,,2880,0.25,0.0004028329566574157,0.00044120301682753723,0.0008987363174284056,4.015225557746272e-05,5.126117936793406e-07,0.007609208796228999
SRT,0.5,48,0.020833333333333332,0.25,threshold,d2,263,0.057074652777777776,,,,0.6116732950845787,0.00048644352871984875,0.009537991672921608
SRT,0.2,48,0.020833333333333332,0.25,completed,,2880,0.25,0.0007210570205825198,0.0008234489201415099,0.0017480808783305248,0.004818766877008922,9.499279318703202e-08,0.007560782734730363
OTRT,0.5,48,0.020833333333333332,0.25,completed,,1152,0.25,0.00041421217497230483,0.00045674252326174085,0.0009461709765190934,0.0002937493361357286,2.028693736777498e-06,0.007609306666333042
OTRT,0.2,64,0.015625,0.25,completed,,5120,0.25,0.0002263118569443765,0.00024783959731740997,0.0005063210975895415,2.2640975110561043e-05,1.5309145395825396e-07,0.005718907665600584
SRT,0.5,64,0.015625,0.25,threshold,d2,263,0.0321044921875,,,,0.6350883643726026,0.00039800287930280565,0.007204947151214234
SRT,0.2,64,0.015625,0.25,completed,,5120,0.25,0.000405758034991043,0.0004632937562266395,0.0009856016310331322,0.0027308522819961462,2.2315397640859658e-08,0.005698403628669822
OTRT,0.5,64,0.015625,0.25,completed,,2048,0.25,0.00023361828516327995,0.0002578899249024858,0.0005377963587807472,0.00019925625158656975,8.16834350381157e-07,0.005718915224126761
OTRT,0.2,96,0.010416666666666666,0.25,completed,,11520,0.25,0.0001005510170847409,0.00011010962913385856,0.00022546853269432037,1.1851325060122666e-05,3.12289212267558e-08,0.003818332708051485
SRT,0.5,96,0.010416666666666666,0.25,threshold,d2,255,0.013834635416666666,,,,0.5552113451336839,0.00019615175517784245,0.0049496996506761546
SRT,0.2,96,0.010416666666666666,0.25,completed,,11520,0.25,0.00018038693518745847,0.00020596013104430826,0.0004385208309394565,0.0012220959496036712,4.117332252917549e-09,0.003812244428820201
OTRT,0.5,96,0.010416666666666666,0.25,completed,,4608,0.25,0.0001051999273101703,0.0001165794315509963,0.00024629440169369847,0.00014062411322532408,1.4920690194486497e-07,0.003818302361763476
OTRT,0.2,128,0.0078125,0.25,completed,,20480,0.25,5.654520138215899e-05,6.191847624016999e-05,0.00012686107304689113,6.755666078633354e-06,1.2235586099862417e-08,0.002865256382335211
SRT,0.5,128,0.0078125,0.25,threshold,d2,251,0.007659912109375,,,,0.5286443212027182,0.0001417610120169055,0.0036671147522979114
SRT,0.2,128,0.0078125,0.25,completed,,20480,0.25,0.00010148587396368378,0.00011586606253284711,0.00024685180070425027,0.0006894144539967057,3.0503941594872686e-09,0.0028626860738484735
OTRT,0.5,128,0.0078125,0.25,completed,,8192,0.25,5.954152838938688e-05,6.610883596691354e-05,0.00014040993046138893,9.273831144841123e-05,1.1829219492831555e-08,0.0028652372442102628
OTRT,0.2,192,0.005208333333333333,0.25,completed,,46080,0.25,2.5056964928890763e-05,2.7415317013747282e-05,5.6029387461952105e-05,3.7863304770447713e-07,3.8431505755553985e-09,0.0019108901442435992
SRT,0.5,192,0.005208333333333333,0.25,threshold,d2,245,0.003323025173611111,,,,0.5093921153883862,6.279629149252841e-05,0.002469270674755353
SRT,0.2,192,0.005208333333333333,0.25,completed,,46080,0.25,4.509297050541496e-05,5.148844284376524e-05,0.00010982379504964513,0.0003058435956825468,1.995157594691932e-09,0.0019101269561024826
OTRT,0.5,192,0.005208333333333333,0.25,completed,,18432,0.25,2.5611352567190374e-05,2.816277582151755e-05,5.828885497481605e-05,1.0681772415176716e-05,3.697052708417914e-08,0.0019108936970664329
