method,alpha,n,h,target_time,status,stop_reason,steps,actual_time,e_u2,d2,density_fluctuation,m_h
OTRT,0.2,16,0.0625,0.25,completed,,320,0.25,0.0005838044060797749,1.610000536813145e-05,3.4598755100256895e-05,0.0083083947844992
SRT,0.5,16,0.0625,0.25,threshold,d2,100,0.1953125,,0.7117339127400422,0.0011751222305945719,0.014837028326906516
SRT,0.2,16,0.0625,0.25,completed,,320,0.25,0.002045924593967233,1.2128283451228038e-05,3.327121461937921e-05,0.008183975741435583
OTRT,0.5,16,0.0625,0.25,completed,,128,0.25,0.0007357126608174636,9.65776652448922e-05,3.505175523743631e-05,0.008295628094680322
OTRT,0.2,24,0.041666666666666664,0.25,completed,,720,0.25,0.00025542956423737367,7.171909203634958e-06,1.6096941921506236e-05,0.0056754163755755125
SRT,0.5,24,0.041666666666666664,0.25,threshold,d2,164,0.1423611111111111,,0.6759010687291347,0.0005499342066688229,0.014519819781877595
SRT,0.2,24,0.041666666666666664,0.25,completed,,720,0.25,0.0009096543308499732,4.754556243828849e-06,1.5866476291925835e-05,0.005637514347395704
OTRT,0.5,24,0.041666666666666664,0.25,completed,,288,0.25,0.0003236680188831356,2.031034899812222e-05,1.6055383622592956e-05,0.005671467354188855
OTRT,0.2,32,0.03125,0.25,completed,,1280,0.25,0.0001428753931842079,2.9605495506620683e-06,9.211591260882557e-06,0.004293216398510888
SRT,0.5,32,0.03125,0.25,threshold,d2,252,0.123046875,,0.6239643132049807,0.0005706843584398769,0.01192990841950041
SRT,0.2,32,0.03125,0.25,completed,,1280,0.25,0.0005117530953006596,2.5729583067214933e-06,9.141327055983695e-06,0.0042770697497205735
OTRT,0.5,32,0.03125,0.25,completed,,512,0.25,0.0001814095727953063,1.7727563769343273e-05,9.181798429791499e-06,0.004291569244404945
OTRT,0.2,48,0.020833333333333332,0.25,completed,,2880,0.25,6.324389649874514e-05,1.2149684329087148e-06,4.145822157797241e-06,0.002879773924874643
SRT,0.5,48,0.020833333333333332,0.25,threshold,d2,258,0.05598958333333333,,0.5232002042744996,0.0007564048452719518,0.013997005131925172
SRT,0.2,48,0.020833333333333332,0.25,completed,,2880,0.25,0.0002274692375336768,1.226363329867331e-06,4.132045141602703e-06,0.0028749561076899213
OTRT,0.5,48,0.020833333333333332,0.25,completed,,1152,0.25,8.041778391987217e-05,7.581955119777253e-06,4.139892167298598e-06,0.002879282044159425
OTRT,0.2,64,0.015625,0.25,completed,,5120,0.25,3.552411045606766e-05,6.761190207602625e-07,2.3423176935821743e-06,0.002164483897178681
SRT,0.5,64,0.015625,0.25,threshold,d2,255,0.0311279296875,,0.5233351827684225,0.0004298632670383107,0.01246244295995608
SRT,0.2,64,0.015625,0.25,completed,,5120,0.25,0.00012795610130911182,7.449113508321221e-07,2.337945082642179e-06,0.0021624464348704853
OTRT,0.5,64,0.015625,0.25,completed,,2048,0.25,4.5193504544178985e-05,2.602273094964112e-06,2.341799204663708e-06,0.002164266258385285
OTRT,0.2,96,0.010416666666666666,0.25,completed,,11520,0.25,1.5772418919864883e-05,3.365612813175211e-07,1.0442877675931328e-06,0.0014452106615078708
SRT,0.5,96,0.010416666666666666,0.25,threshold,d2,250,0.013563368055555554,,0.5626893875232412,0.000249897429793422,0.009436965276492345
SRT,0.2,96,0.010416666666666666,0.25,completed,,11520,0.25,5.6870861634075384e-05,3.1293411871728597e-07,1.0434171657802693e-06,0.0014446058506685437
OTRT,0.5,96,0.010416666666666666,0.25,completed,,4608,0.25,2.0073250079712786e-05,2.583503028726453e-06,1.044086133550337e-06,0.0014451494899010659
OTRT,0.2,128,0.0078125,0.25,completed,,20480,0.25,8.868817708273426e-06,1.7382278941760493e-07,5.880539677427521e-07,0.0010844918824622382
SRT,0.5,128,0.0078125,0.25,threshold,d2,247,0.007537841796875,,0.5255249386051292,0.00012190341413254036,0.007447862426324455
SRT,0.2,128,0.0078125,0.25,completed,,20480,0.25,3.1990152421867476e-05,1.7448078191249884e-07,5.877781767971157e-07,0.0010842365798088651
OTRT,0.5,128,0.0078125,0.25,completed,,8192,0.25,1.1288610665558718e-05,1.4200323180530136e-06,5.880684290637817e-07,0.0010844640458619484
OTRT,0.2,192,0.005208333333333333,0.25,completed,,46080,0.25,3.940691394141598e-06,8.420423938818437e-08,2.615604357547596e-07,0.000723272811132231
SRT,0.5,192,0.005208333333333333,0.25,threshold,d2,242,0.003282335069444444,,0.5421843762194386,6.024842997409685e-05,0.005108140866757214
SRT,0.2,192,0.005208333333333333,0.25,completed,,46080,0.25,1.4217938624353595e-05,8.052516614017409e-08,2.6150573506633634e-07,0.0007231971305808193
OTRT,0.5,192,0.005208333333333333,0.25,completed,,18432,0.25,5.016313781928306e-06,5.37122609369018e-07,2.6154806098688255e-07,0.0007232651034504925
OTRT,0.2,256,0.00390625,0.25,completed,,81920,0.25,2.2164407551646566e-06,4.507444778301526e-08,1.4716778784507056e-07,0.0005425276641144486
SRT,0.5,256,0.00390625,0.25,threshold,d2,238,0.0018157958984375,,0.5814101407932923,4.04689326645169e-05,0.003876875977815736
SRT,0.2,256,0.00390625,0.25,completed,,81920,0.25,7.997608847803467e-06,4.6816741243825285e-08,1.4715048290980803e-07,0.0005424957327807852
OTRT,0.5,256,0.00390625,0.25,completed,,32768,0.25,2.821480046761666e-06,1.1371273976460609e-07,1.4716886342913682e-07,0.00054252434636648
