choice,ell,s_plus,h,y,u_numerical,u_exact
OTRT,0.0,0.18181818181818188,0.03125,0.015625,0.006249999999999797,0.00615234375
OTRT,0.0,0.18181818181818188,0.03125,0.046875,0.017968749999999402,0.017871093749999997
OTRT,0.0,0.18181818181818188,0.03125,0.078125,0.028906249999999016,0.028808593749999997
OTRT,0.0,0.18181818181818188,0.03125,0.109375,0.03906249999999864,0.03896484374999999
OTRT,0.0,0.18181818181818188,0.03125,0.140625,0.04843749999999834,0.04833984374999999
OTRT,0.0,0.18181818181818188,0.03125,0.171875,0.057031249999998,0.05693359375
OTRT,0.0,0.18181818181818188,0.03125,0.203125,0.06484374999999765,0.06474609375
OTRT,0.0,0.18181818181818188,0.03125,0.234375,0.0718749999999973,0.07177734374999999
OTRT,0.0,0.18181818181818188,0.03125,0.265625,0.07812499999999693,0.07802734374999999
OTRT,0.0,0.18181818181818188,0.03125,0.296875,0.08359374999999665,0.08349609375
OTRT,0.0,0.18181818181818188,0.03125,0.328125,0.0882812499999964,0.08818359375
OTRT,0.0,0.18181818181818188,0.03125,0.359375,0.09218749999999604,0.09208984375
OTRT,0.0,0.18181818181818188,0.03125,0.390625,0.09531249999999584,0.09521484374999999
OTRT,0.0,0.18181818181818188,0.03125,0.421875,0.09765624999999564,0.09755859374999999
OTRT,0.0,0.18181818181818188,0.03125,0.453125,0.09921874999999548,0.09912109374999999
OTRT,0.0,0.18181818181818188,0.03125,0.484375,0.09999999999999526,0.09990234375
OTRT,0.0,0.18181818181818188,0.03125,0.515625,0.09999999999999507,0.09990234374999998
OTRT,0.0,0.18181818181818188,0.03125,0.546875,0.09921874999999486,0.09912109375
OTRT,0.0,0.18181818181818188,0.03125,0.578125,0.09765624999999471,0.09755859374999999
OTRT,0.0,0.18181818181818188,0.03125,0.609375,0.0953124999999947,0.09521484375
OTRT,0.0,0.18181818181818188,0.03125,0.640625,0.09218749999999475,0.09208984375
OTRT,0.0,0.18181818181818188,0.03125,0.671875,0.08828124999999507,0.08818359374999998
OTRT,0.0,0.18181818181818188,0.03125,0.703125,0.0835937499999955,0.08349609375
OTRT,0.0,0.18181818181818188,0.03125,0.734375,0.07812499999999609,0.07802734374999999
OTRT,0.0,0.18181818181818188,0.03125,0.765625,0.07187499999999669,0.07177734374999999
OTRT,0.0,0.18181818181818188,0.03125,0.796875,0.06484374999999726,0.06474609375
OTRT,0.0,0.18181818181818188,0.03125,0.828125,0.0570312499999978,0.05693359374999999
OTRT,0.0,0.18181818181818188,0.03125,0.859375,0.04843749999999826,0.04833984374999999
OTRT,0.0,0.18181818181818188,0.03125,0.890625,0.039062499999998675,0.03896484375
OTRT,0.0,0.18181818181818188,0.03125,0.921875,0.028906249999999065,0.028808593749999997
OTRT,0.0,0.18181818181818188,0.03125,0.953125,0.017968749999999433,0.01787109375
