n,key,status,step,actual_time,energy_ratio,divergence_l2,density_fluctuation
12,otrt_a05,completed,58,0.20138888888888887,0.8031948183566943,7.1413849523206684e-06,1.8083341335795033e-05
12,srt_a05,threshold,44,0.15277777777777776,0.9254247644071987,0.636489486291608,0.0028653824042972342
12,srt_a02,completed,145,0.2013888888888889,0.7924318646698264,0.0004975294699976709,1.7168774959164246e-05
16,otrt_a05,completed,104,0.203125,0.817320724117967,1.2411639546314877e-05,1.0561536899045265e-05
16,srt_a05,threshold,37,0.072265625,0.9375676393830111,0.5013787008856755,0.0017156226583316947
16,srt_a02,completed,260,0.203125,0.8123152495053414,0.00039670416421693926,1.0310612584052414e-05
24,otrt_a05,completed,232,0.20138888888888887,0.8315283576050471,6.3389720966513135e-06,4.859500912446357e-06
24,srt_a05,threshold,50,0.043402777777777776,0.9674948911194765,0.5044650073552606,0.0011583118238078782
24,srt_a02,completed,580,0.2013888888888889,0.8295427622908418,0.00021759439280240423,4.8211508862916475e-06
32,otrt_a05,completed,410,0.2001953125,0.8370507957783639,7.108174461507009e-07,2.7788942056350407e-06
32,srt_a05,threshold,51,0.02490234375,0.9817441897358947,0.5503406403444813,0.00016407736917933846
32,srt_a02,completed,1025,0.2001953125,0.8359546334761483,0.0001315450538592956,2.760614756236457e-06
48,otrt_a05,completed,922,0.20008680555555555,0.8405176327080801,9.148929048231055e-07,1.2434277987249942e-06
48,srt_a05,threshold,67,0.014539930555555554,0.9895049691383576,0.6593097951976382,0.0007148617874035423
48,srt_a02,completed,2305,0.20008680555555555,0.8400363150301773,6.15809204006632e-05,1.2412564627251044e-06
64,otrt_a05,completed,1640,0.2001953125,0.8416350245022999,5.971766785894082e-07,7.019208513314723e-07
64,srt_a05,threshold,79,0.0096435546875,0.9930290065713083,0.651034940309918,0.00017439192425428018
64,srt_a02,completed,4100,0.2001953125,0.8413653573572314,3.537234231633343e-05,7.010785159078381e-07
96,otrt_a05,completed,3688,0.20008680555555555,0.8425628596921485,4.7657903907681354e-08,3.129269690038683e-07
96,srt_a05,threshold,86,0.004665798611111111,0.9959083965969332,0.5013558386885798,0.00024547555636322826
96,srt_a02,completed,9220,0.20008680555555555,0.8424434014904731,1.5972184325466263e-05,3.126314596091362e-07
128,otrt_a05,completed,6554,0.20001220703125,0.842913260243388,5.6324703466604865e-08,1.7612581371118097e-07
128,srt_a05,threshold,85,0.002593994140625,0.9979974383067273,0.5954958376642363,0.00015381188564245196
128,srt_a02,completed,16385,0.20001220703125,0.8428461484955961,9.018236749048375e-06,1.7607386948448323e-07
